No.,Output_Index,ID_Output,Output_Name,Output_Type,Value
0,0,Y0,xung_truc_y,b,0
1,1,Y1,xung_z,b,0
2,2,Y2,xung_chieu_(_0:_tien),b,0
3,3,Y3,xung_1:_down,b,0
4,4,Y4,motor_run,b,0
5,5,Y5,cylinder_say_2,b,0
6,6,Y6,cb_5_.1_first,b,0
7,7,Y7,cb_5.2,b,0
8,8,Y10,cb_5.3,b,0
9,9,Y11,cb_5.4,b,0
10,10,Y12,cb_5.5,b,0
11,11,Y13,ion_blowing_(_not_use),b,0
12,12,Y14,high_xl_2_say,b,0
13,13,Y15,low_xl_2_say,b,0
14,14,Y16,high_xl1_say,b,0
15,15,Y17,low_xl1_say,b,0
16,16,Y20,xl_chan_say_1_NC,b,0
17,17,Y21,van_dau_phun,b,0
18,18,Y22,van_dau_phun,b,0
19,19,Y23,blowing,b,0
20,20,Y24,gia_nhiet,b,0
21,21,Y25,not_use,b,0
22,22,Y26,not_use,b,0
23,23,Y27,emerency_(_NC),b,0
24,24,Y30,not_use,b,0
25,25,Y31,green_led,b,0
26,26,Y32,yellow_led,b,0
27,27,Y33,red_led,b,0
28,28,Y34,red_led,b,0
29,29,Y35,robot_homing,b,0
30,30,Y36,valve,b,0
31,31,Y37,washing_blowing,b,0
