No.,PD_Index,ID_PD,PD_Name,PD_Type,PD_Value
0,73,D2573,S1_PLASTIC_TRAYS_QTY,i,4085
1,78,D2578,S1_HEATING_TEMP,h,1041
2,99,D2599,EFF,h,1044
3,118,D2618,S1_CURRENT_GDS,i,1029
4,123,D2623,S1_CURRENT_BDS,i,1029
5,128,D2628,S1_VISION_CURRENT_GDS,i,30
6,133,D2633,S1_STYROFOAM_TRAYS_QTY,i,12
7,138,D2638,S1_VISION_CURRENT_BDS,i,27
8,300,D2800,S1_VISION_GOOD_TUBES,i,1019
9,302,D2802,S1_VISION_TOTAL_TUBES,i,1012
10,304,D2804,S1_VISION_BAD_TUBES,i,19
11,328,D2828,S1_CURRENT_LEVEL_AUTH,h,25
12,330,D2830,S1_CURRENT_ID_AUTH,h,27
13,103,D2603,productCountRaw,i,27
,,,goodProductRaw,,
,,,errorProductRaw,,
,,,S1_CYCLE_TIME,,
