No.,Counting_Index,ID_Counting,Counting_Name,Counting_Type,Counting_Value,,,,,,
0,936,D936,JOB_MIN,i,84,,,,,,
1,3012,D3012,goodProduct,i,4085,,,,,?ã làm,Ch?a làm
2,3043,D3043,EFF,i,978,,,,,,
3,3150,D3150,ACT_BATCH_CNT,i,4085,,,,,,
4,3160,D3160,SET_BATCH_QTY,i,5050,,,,,,
5,3000,D3000,TOTAL_CNT_TR1,i,1044,,,,,,
6,3002,D3002,TOTAL_CNT_TR2,i,1041,,,,,,
7,3004,D3004,TOTAL_CNT_TR3,i,1042,,,,,,
8,3006,D3006,TOTAL_CNT_TR4,i,1046,,,,,,
9,3018,D3018,errorProduct,i,88,,,,,,
10,3020,D3020,GOOD_CNT_TR1,i,1025,,,,,,
11,3022,D3022,GOOD_CNT_TR2,i,1029,,,,,,
12,3024,D3024,GOOD_CNT_TR3,i,1012,,,,,,
13,3026,D3026,GOOD_CNT_TR4,i,1019,,,,,,
14,3030,D3030,BAD_CNT_TR1,i,19,,,,,,
15,3032,D3032,BAD_CNT_TR2,i,12,,,,,,
16,3034,D3034,BAD_CNT_TR3,i,30,,,,,,
17,3036,D3036,BAD_CNT_TR4,i,27,,,,,,
18,3039,D3039,productCount  ,i,4173,,,,,,
19,3150,D3150,ACT_BATCH_CNT,i,4085,,,,,,
20,3160,D3160,SET_BATCH_QTY,i,5050,,,,,,
21,4120,D4120,S8_TOTAL_HEIGHT_TR1,i,2116,,,,,,
22,4320,D4320,S8_TOTAL_HEIGHT_TR3,i,2115,,,,,,
23,4220,D4220,S9_TOTAL_HEIGHT_TR2,i,2115,,,,,,
24,4420,D4420,S9_TOTAL_HEIGHT_TR4,i,2118,,,,,,
