No.,Setting_Index,ID_Setting,Setting_Name,Setting_Type,Setting_Value,,,,,,
0,116,D4116,S8_OFF_SET_TR1,h,20,,,,,,
1,124,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,h,21,,,,,?ã làm,Ch?a làm
2,128,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,h,21,,,,,,
3,316,D4316,S8_OFF_SET_TR3,h,21,,,,,,
4,324,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,h,21,,,,,,
5,328,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,h,21,,,,,,
6,216,D4216,S9_OFF_SET_TR2,h,20,,,,,,
7,224,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,h,20,,,,,,
8,228,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,h,21,,,,,,
9,416,D4416,S9_OFF_SET_TR4,h,20,,,,,,
10,424,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,h,21,,,,,,
11,428,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,h,21,,,,,,
